#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 446000      9.38e-02      7.24e-03      3.59e-03    5.7e-04
 448000      5.96e-01      9.32e-03      2.50e-02    5.7e-04
 450000      7.41e-01      1.70e-02      3.09e-02    5.7e-04
 452000      9.44e-02      2.16e-03      3.94e-03    5.7e-04
 454000      1.47e-01      9.48e-03      5.80e-03    5.7e-04
 456000      1.16e+00      1.23e-02      4.86e-02    5.7e-04
 458000      1.44e+00      1.62e-02      6.03e-02    5.7e-04
 460000      9.53e-02      6.00e-03      3.77e-03    5.7e-04
 462000      2.24e-01      2.97e-02      6.69e-03    5.7e-04
 464000      1.23e-01      1.88e-02      4.22e-03    5.7e-04
 466000      1.26e-01      2.68e-03      5.25e-03    5.7e-04
 468000      1.20e+00      5.17e-02      4.94e-02    5.7e-04
 470000      1.39e+00      2.84e-02      5.81e-02    5.7e-04
 472000      7.27e-01      5.80e-03      3.04e-02    5.7e-04
 474000      1.00e-01      7.63e-04      4.20e-03    5.7e-04
 476000      2.84e-01      7.10e-02      4.22e-03    5.7e-04
 478000      1.28e-01      2.00e-02      3.02e-03    5.7e-04
 480000      1.39e-01      4.99e-03      5.85e-03    5.4e-04
 482000      7.17e-02      4.60e-03      2.89e-03    5.4e-04
 484000      8.14e-01      2.03e-02      3.48e-02    5.4e-04
 486000      3.50e-01      2.35e-03      1.50e-02    5.4e-04
 488000      9.08e-01      2.91e-03      3.90e-02    5.4e-04
 490000      4.38e-01      3.40e-03      1.88e-02    5.4e-04
 492000      2.78e-01      1.61e-02      1.16e-02    5.4e-04
 494000      4.47e-01      8.88e-03      1.92e-02    5.4e-04
 496000      2.09e-01      4.16e-02      5.75e-03    5.4e-04
 498000      2.33e-01      1.18e-02      9.63e-03    5.4e-04
 500000      1.00e+00      3.21e-02      4.28e-02    5.4e-04
 502000      1.66e-01      2.83e-02      5.39e-03    5.4e-04
 504000      1.57e-01      1.11e-02      6.25e-03    5.4e-04
 506000      6.07e-01      1.53e-02      2.58e-02    5.4e-04
 508000      2.68e-01      4.00e-02      6.69e-03    5.4e-04
 510000      2.74e-01      1.25e-02      1.16e-02    5.4e-04
