#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 301000      7.17e-02      4.54e-03      4.50e-03    2.1e-04
 302000      1.00e-01      2.96e-03      6.80e-03    2.1e-04
 303000      1.44e-01      2.32e-02      1.37e-03    2.1e-04
 304000      8.84e-02      2.77e-03      5.98e-03    2.1e-04
 305000      1.23e-01      6.46e-03      7.87e-03    2.1e-04
 306000      4.16e-01      2.34e-03      2.83e-02    2.1e-04
 307000      3.69e-02      7.18e-03      1.81e-03    2.1e-04
 308000      1.24e-01      5.35e-03      8.37e-03    2.1e-04
 309000      7.31e-02      1.20e-02      2.79e-03    2.1e-04
 310000      6.68e-02      1.72e-03      4.61e-03    2.0e-04
 311000      9.05e-02      1.00e-02      4.60e-03    2.0e-04
 312000      1.54e-01      2.00e-03      1.08e-02    2.0e-04
 313000      5.31e-02      4.31e-03      3.38e-03    2.0e-04
 314000      2.01e-02      3.23e-03      8.13e-04    2.0e-04
 315000      1.01e-01      4.27e-03      6.95e-03    2.0e-04
 316000      3.14e-01      9.90e-03      2.17e-02    2.0e-04
 317000      4.89e-02      9.18e-03      1.06e-03    2.0e-04
 318000      2.15e-01      6.44e-03      1.49e-02    2.0e-04
 319000      8.24e-02      1.33e-02      4.71e-03    2.0e-04
 320000      1.32e-01      7.47e-03      8.89e-03    1.9e-04
 321000      2.63e-01      5.29e-03      1.88e-02    1.9e-04
 322000      2.93e-01      2.99e-03      2.10e-02    1.9e-04
 323000      4.63e-01      2.33e-02      3.21e-02    1.9e-04
 324000      3.06e-02      5.53e-03      8.51e-04    1.9e-04
 325000      9.64e-02      1.00e-02      5.86e-03    1.9e-04
 326000      2.93e-01      1.21e-03      2.10e-02    1.9e-04
 327000      3.89e-01      1.39e-02      2.74e-02    1.9e-04
 328000      1.11e-01      1.02e-02      7.04e-03    1.9e-04
 329000      1.82e-01      1.46e-02      1.25e-02    1.9e-04
 330000      8.13e-02      9.00e-03      4.30e-03    1.8e-04
 331000      2.74e-01      8.68e-03      1.99e-02    1.8e-04
 332000      2.91e-01      1.00e-02      2.12e-02    1.8e-04
 333000      1.20e-01      1.95e-02      7.10e-03    1.8e-04
 334000      1.07e-01      1.23e-02      7.12e-03    1.8e-04
 335000      4.50e-01      1.04e-02      3.30e-02    1.8e-04
 336000      2.96e-01      3.77e-03      2.17e-02    1.8e-04
 337000      9.18e-02      2.26e-03      6.70e-03    1.8e-04
 338000      8.53e-02      1.65e-02      7.36e-04    1.8e-04
 339000      1.08e-01      1.71e-04      7.94e-03    1.8e-04
 340000      3.16e-02      4.68e-03      2.01e-03    1.7e-04
 341000      2.19e-02      8.19e-04      1.60e-03    1.7e-04
 342000      1.75e-02      3.34e-03      2.42e-04    1.7e-04
 343000      2.68e-01      8.99e-03      1.99e-02    1.7e-04
 344000      1.27e-02      2.98e-03      5.01e-04    1.7e-04
 345000      2.99e-01      9.36e-04      2.26e-02    1.7e-04
 346000      5.89e-02      1.10e-02      1.27e-03    1.7e-04
 347000      1.41e-01      2.17e-03      1.06e-02    1.7e-04
 348000      1.07e-01      1.46e-03      8.06e-03    1.7e-04
 349000      6.00e-02      7.79e-03      3.99e-03    1.7e-04
 350000      2.17e-01      8.23e-03      1.66e-02    1.7e-04
 351000      1.38e-01      2.25e-03      1.06e-02    1.7e-04
 352000      3.00e-02      4.41e-03      1.95e-03    1.7e-04
 353000      3.59e-01      2.40e-02      2.71e-02    1.7e-04
 354000      2.31e-02      2.44e-03      1.32e-03    1.7e-04
 355000      1.10e-02      1.82e-03      4.40e-04    1.7e-04
 356000      2.81e-01      1.30e-02      2.11e-02    1.7e-04
 357000      2.28e-01      1.48e-03      1.77e-02    1.7e-04
 358000      6.69e-02      2.37e-03      5.04e-03    1.7e-04
 359000      8.96e-02      1.36e-02      5.76e-03    1.7e-04
 360000      9.86e-02      5.48e-03      7.50e-03    1.6e-04
 361000      2.92e-01      6.14e-03      2.30e-02    1.6e-04
 362000      5.10e-02      1.35e-02      8.76e-04    1.6e-04
 363000      2.24e-01      3.68e-04      1.78e-02    1.6e-04
 364000      6.58e-02      3.00e-03      5.00e-03    1.6e-04
 365000      2.05e-02      3.45e-03      1.28e-03    1.6e-04
 366000      1.77e-01      2.24e-02      1.24e-02    1.6e-04
 367000      2.83e-01      1.53e-03      2.25e-02    1.6e-04
 368000      7.74e-02      9.34e-03      3.42e-03    1.6e-04
 369000      9.21e-02      5.47e-03      7.14e-03    1.6e-04
 370000      1.16e-01      2.01e-02      7.30e-03    1.5e-04
 371000      9.13e-02      9.95e-04      7.43e-03    1.5e-04
 372000      1.96e-02      1.09e-03      1.53e-03    1.5e-04
 373000      4.58e-01      1.18e-02      3.70e-02    1.5e-04
 374000      7.57e-02      3.53e-03      5.98e-03    1.5e-04
 375000      6.59e-02      2.51e-03      5.26e-03    1.5e-04
 376000      2.15e-01      6.60e-04      1.75e-02    1.5e-04
 377000      7.00e-02      7.91e-03      5.18e-03    1.5e-04
 378000      9.89e-02      5.04e-03      7.76e-03    1.5e-04
 379000      4.75e-02      3.53e-03      3.57e-03    1.5e-04
 380000      1.76e-01      7.86e-03      1.45e-02    1.4e-04
 381000      7.35e-02      8.30e-03      4.22e-03    1.4e-04
 382000      3.86e-01      2.06e-03      3.23e-02    1.4e-04
 383000      1.03e-01      4.29e-03      8.42e-03    1.4e-04
 384000      2.83e-02      5.12e-03      7.42e-04    1.4e-04
 385000      6.83e-02      9.35e-03      3.97e-03    1.4e-04
 386000      2.88e-02      6.45e-03      1.34e-03    1.4e-04
 387000      3.42e-01      6.27e-03      2.84e-02    1.4e-04
 388000      1.62e-01      5.59e-03      1.33e-02    1.4e-04
 389000      2.10e-02      9.95e-04      1.73e-03    1.4e-04
 390000      3.50e-01      9.33e-03      2.98e-02    1.4e-04
 391000      3.97e-02      9.07e-03      1.79e-03    1.4e-04
 392000      2.64e-01      1.08e-02      2.20e-02    1.4e-04
 393000      1.03e-01      8.56e-03      7.18e-03    1.4e-04
 394000      2.88e-02      4.48e-03      1.42e-03    1.4e-04
 395000      2.25e-01      6.19e-03      1.90e-02    1.4e-04
 396000      8.67e-02      1.08e-02      6.57e-03    1.4e-04
 397000      3.42e-01      9.43e-03      2.90e-02    1.4e-04
 398000      5.67e-02      2.00e-03      4.73e-03    1.4e-04
 399000      1.55e-01      3.93e-03      1.32e-02    1.4e-04
 400000      1.65e-01      1.86e-03      1.44e-02    1.3e-04
 401000      9.45e-02      6.08e-03      7.81e-03    1.3e-04
 402000      1.22e-01      3.77e-03      1.05e-02    1.3e-04
 403000      5.74e-02      3.37e-03      4.67e-03    1.3e-04
 404000      2.37e-01      3.77e-03      2.08e-02    1.3e-04
 405000      1.66e-02      2.46e-03      9.09e-04    1.3e-04
 406000      1.45e-02      9.07e-04      1.24e-03    1.3e-04
 407000      6.52e-02      1.70e-02      1.33e-03    1.3e-04
 408000      3.42e-01      5.29e-03      3.00e-02    1.3e-04
 409000      5.67e-02      6.73e-04      4.98e-03    1.3e-04
 410000      5.89e-02      1.84e-03      5.20e-03    1.2e-04
 411000      8.85e-02      1.25e-02      5.28e-03    1.2e-04
 412000      5.06e-02      8.30e-03      3.60e-03    1.2e-04
 413000      3.54e-01      2.84e-03      3.19e-02    1.2e-04
 414000      2.37e-01      5.34e-03      2.12e-02    1.2e-04
 415000      2.71e-02      5.21e-05      2.45e-03    1.2e-04
 416000      3.76e-01      3.03e-02      3.23e-02    1.2e-04
 417000      2.51e-01      3.89e-03      2.26e-02    1.2e-04
 418000      2.02e-01      3.53e-03      1.81e-02    1.2e-04
 419000      2.42e-01      6.91e-03      2.17e-02    1.2e-04
 420000      6.15e-02      2.35e-03      5.48e-03    1.2e-04
 421000      1.98e-01      3.81e-03      1.82e-02    1.2e-04
 422000      1.66e-01      8.09e-03      1.48e-02    1.2e-04
 423000      6.81e-02      3.18e-03      6.20e-03    1.2e-04
 424000      3.52e-02      6.59e-03      2.32e-03    1.2e-04
 425000      4.82e-02      1.03e-02      2.66e-03    1.2e-04
 426000      7.70e-02      1.60e-03      7.10e-03    1.2e-04
 427000      7.68e-02      6.59e-03      6.72e-03    1.2e-04
 428000      6.14e-02      1.65e-03      5.65e-03    1.2e-04
 429000      1.94e-01      4.69e-03      1.79e-02    1.2e-04
 430000      3.55e-02      5.94e-03      1.51e-03    1.1e-04
 431000      4.52e-02      4.48e-04      4.29e-03    1.1e-04
 432000      2.00e-02      1.07e-03      1.85e-03    1.1e-04
