#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 296000      6.42e-01      3.76e-03      9.07e-02    4.9e-05
 297000      5.87e-01      2.10e-04      8.34e-02    4.9e-05
 298000      1.82e-01      1.52e-03      2.58e-02    4.9e-05
 299000      6.72e-01      8.85e-05      9.55e-02    4.9e-05
 300000      6.98e-01      5.16e-05      1.02e-01    4.6e-05
 301000      4.67e-01      3.54e-03      6.80e-02    4.6e-05
 302000      5.86e-01      9.70e-03      8.49e-02    4.6e-05
 303000      5.68e-01      1.42e-02      8.16e-02    4.6e-05
 304000      4.96e-01      2.31e-04      7.23e-02    4.6e-05
 305000      9.12e-02      1.50e-03      1.35e-02    4.4e-05
 306000      4.72e-01      5.41e-04      7.05e-02    4.4e-05
 307000      7.73e-01      6.26e-03      1.15e-01    4.4e-05
 308000      1.82e-01      3.33e-03      2.70e-02    4.4e-05
 309000      6.33e-01      1.67e-03      9.45e-02    4.4e-05
 310000      5.13e-01      2.01e-03      7.84e-02    4.2e-05
 311000      5.55e-01      3.73e-03      8.44e-02    4.2e-05
 312000      5.25e-01      7.96e-04      8.04e-02    4.2e-05
 313000      9.06e-02      1.35e-03      1.38e-02    4.2e-05
 314000      5.42e-01      5.79e-04      8.31e-02    4.2e-05
 315000      5.78e-01      5.00e-04      9.08e-02    4.0e-05
 316000      6.15e-01      3.80e-03      9.59e-02    4.0e-05
 317000      5.98e-01      4.77e-03      9.29e-02    4.0e-05
 318000      6.46e-01      1.70e-03      1.01e-01    4.0e-05
 319000      5.10e-01      1.11e-03      8.00e-02    4.0e-05
 320000      5.82e-01      7.91e-03      9.34e-02    3.8e-05
 321000      5.98e-01      1.82e-03      9.63e-02    3.8e-05
 322000      5.78e-01      9.32e-04      9.31e-02    3.8e-05
 323000      5.13e-01      1.14e-03      8.26e-02    3.8e-05
 324000      5.66e-01      1.26e-03      9.13e-02    3.8e-05
 325000      4.64e-01      5.53e-04      7.67e-02    3.6e-05
 326000      5.29e-01      1.44e-03      8.72e-02    3.6e-05
 327000      6.17e-01      2.06e-03      1.02e-01    3.6e-05
 328000      6.68e-01      6.33e-04      1.10e-01    3.6e-05
 329000      6.22e-01      1.63e-02      8.81e-02    3.6e-05
 330000      4.35e-01      7.15e-03      7.32e-02    3.4e-05
 331000      4.84e-01      1.97e-03      8.18e-02    3.4e-05
 332000      2.21e-01      5.73e-03      3.67e-02    3.4e-05
 333000      5.05e-02      6.30e-04      8.52e-03    3.4e-05
 334000      5.02e-01      1.63e-03      8.48e-02    3.4e-05
 335000      5.04e-01      6.59e-03      8.72e-02    3.2e-05
 336000      4.56e-01      1.28e-02      7.77e-02    3.2e-05
 337000      4.84e-01      1.39e-03      8.40e-02    3.2e-05
 338000      4.56e-01      8.17e-03      7.86e-02    3.2e-05
 339000      5.09e-01      6.62e-04      8.84e-02    3.2e-05
 340000      2.89e-01      9.18e-03      5.02e-02    3.1e-05
 341000      4.47e-01      2.07e-03      7.93e-02    3.1e-05
 342000      4.82e-01      2.74e-03      8.52e-02    3.1e-05
 343000      4.14e-01      2.68e-03      7.37e-02    3.1e-05
 344000      5.09e-01      1.59e-03      9.05e-02    3.1e-05
 345000      4.40e-01      2.74e-03      7.96e-02    2.9e-05
 346000      5.30e-01      2.18e-03      9.65e-02    2.9e-05
 347000      6.46e-01      6.55e-03      1.18e-01    2.9e-05
 348000      5.06e-01      1.14e-03      9.22e-02    2.9e-05
 349000      4.82e-01      6.03e-03      8.53e-02    2.9e-05
 350000      5.07e-01      2.31e-03      9.45e-02    2.8e-05
 351000      4.73e-01      2.87e-03      8.79e-02    2.8e-05
 352000      3.73e-01      1.43e-03      6.98e-02    2.8e-05
 353000      4.77e-01      2.23e-03      8.93e-02    2.8e-05
 354000      4.73e-01      2.02e-03      8.81e-02    2.8e-05
 355000      5.41e-01      1.56e-03      1.04e-01    2.6e-05
 356000      3.52e-01      1.46e-03      6.75e-02    2.6e-05
 357000      4.74e-01      5.56e-04      9.09e-02    2.6e-05
 358000      8.08e-02      4.28e-03      1.44e-02    2.6e-05
 359000      5.75e-02      6.01e-03      7.54e-03    2.6e-05
 360000      4.33e-01      3.16e-03      8.42e-02    2.5e-05
 361000      4.75e-01      1.26e-03      9.32e-02    2.5e-05
 362000      3.46e-01      8.20e-03      6.70e-02    2.5e-05
 363000      3.73e-01      1.95e-03      7.32e-02    2.5e-05
 364000      4.20e-01      2.69e-03      8.19e-02    2.5e-05
 365000      3.28e-01      4.26e-04      6.61e-02    2.4e-05
 366000      4.57e-01      5.33e-04      9.21e-02    2.4e-05
 367000      3.55e-01      1.75e-03      7.12e-02    2.4e-05
 368000      4.86e-02      2.97e-03      8.87e-03    2.4e-05
 369000      4.42e-01      2.30e-04      8.91e-02    2.4e-05
 370000      3.12e-01      4.54e-03      6.41e-02    2.2e-05
 371000      4.48e-01      1.69e-03      9.23e-02    2.2e-05
 372000      3.58e-01      4.20e-03      7.37e-02    2.2e-05
 373000      4.47e-02      1.73e-03      8.88e-03    2.2e-05
 374000      4.10e-01      5.74e-04      8.47e-02    2.2e-05
 375000      4.22e-01      1.78e-03      8.91e-02    2.1e-05
 376000      4.66e-01      2.07e-03      9.83e-02    2.1e-05
 377000      4.86e-01      5.81e-05      1.03e-01    2.1e-05
 378000      4.63e-01      7.94e-04      9.80e-02    2.1e-05
 379000      1.69e-01      3.89e-03      3.53e-02    2.1e-05
 380000      1.36e-01      6.65e-03      2.77e-02    2.0e-05
 381000      2.37e-01      3.44e-03      5.11e-02    2.0e-05
 382000      2.29e-01      1.36e-03      4.95e-02    2.0e-05
 383000      3.99e-01      1.38e-03      8.63e-02    2.0e-05
 384000      3.35e-01      4.15e-03      7.23e-02    2.0e-05
 385000      4.41e-01      1.63e-03      9.78e-02    1.9e-05
 386000      3.83e-01      7.96e-04      8.50e-02    1.9e-05
 387000      3.98e-01      5.87e-03      8.80e-02    1.9e-05
 388000      6.38e-02      7.97e-03      6.88e-03    1.9e-05
 389000      2.72e-01      3.12e-03      6.04e-02    1.9e-05
 390000      4.12e-01      3.70e-03      9.36e-02    1.8e-05
 391000      3.91e-01      7.69e-04      8.91e-02    1.8e-05
 392000      3.90e-01      6.20e-04      8.87e-02    1.8e-05
 393000      4.15e-01      8.39e-04      9.45e-02    1.8e-05
 394000      1.98e-01      9.96e-03      4.23e-02    1.8e-05
 395000      3.85e-01      2.54e-03      8.89e-02    1.7e-05
 396000      4.22e-01      2.60e-03      9.77e-02    1.7e-05
 397000      2.06e-01      4.75e-04      4.82e-02    1.7e-05
 398000      2.79e-01      5.08e-03      6.45e-02    1.7e-05
 399000      4.38e-01      2.76e-04      1.02e-01    1.7e-05
 400000      2.33e-01      5.87e-04      5.57e-02    1.7e-05
 401000      3.83e-01      3.12e-03      9.14e-02    1.7e-05
 402000      2.95e-01      3.45e-03      7.02e-02    1.7e-05
 403000      3.92e-01      7.78e-04      9.35e-02    1.7e-05
 404000      3.59e-01      3.15e-03      8.44e-02    1.7e-05
 405000      5.78e-02      3.12e-03      1.31e-02    1.6e-05
 406000      3.58e-01      8.25e-04      8.75e-02    1.6e-05
 407000      3.60e-01      1.58e-03      8.82e-02    1.6e-05
 408000      3.20e-01      3.67e-03      7.81e-02    1.6e-05
 409000      3.44e-01      6.37e-04      8.40e-02    1.6e-05
 410000      4.03e-01      1.95e-04      1.01e-01    1.5e-05
 411000      3.55e-01      8.82e-04      8.90e-02    1.5e-05
 412000      3.85e-01      1.03e-03      9.65e-02    1.5e-05
 413000      3.84e-01      2.39e-03      9.62e-02    1.5e-05
 414000      3.92e-01      3.68e-04      9.82e-02    1.5e-05
 415000      3.58e-01      8.41e-04      9.20e-02    1.4e-05
 416000      3.06e-01      3.05e-03      7.83e-02    1.4e-05
 417000      3.38e-01      5.53e-05      8.68e-02    1.4e-05
 418000      4.24e-02      4.37e-03      7.50e-03    1.4e-05
 419000      3.60e-01      2.55e-04      9.25e-02    1.4e-05
 420000      3.23e-01      1.00e-03      8.48e-02    1.3e-05
 421000      3.98e-01      2.61e-03      1.05e-01    1.3e-05
 422000      3.35e-01      3.46e-03      8.62e-02    1.3e-05
 423000      3.14e-01      1.03e-03      8.26e-02    1.3e-05
 424000      2.93e-01      5.56e-03      7.63e-02    1.3e-05
 425000      3.09e-01      3.62e-03      8.29e-02    1.3e-05
 426000      3.00e-02      2.57e-04      8.06e-03    1.3e-05
 427000      3.62e-01      1.21e-04      9.76e-02    1.3e-05
 428000      2.68e-01      5.82e-05      7.21e-02    1.3e-05
 429000      3.07e-01      3.44e-03      8.25e-02    1.3e-05
 430000      7.77e-02      1.93e-03      2.11e-02    1.2e-05
 431000      3.27e-01      7.42e-04      9.01e-02    1.2e-05
 432000      3.34e-01      1.89e-03      9.17e-02    1.2e-05
