#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 399000      6.37e-01      4.21e-02      2.35e-02    7.0e-04
 400000      1.97e+00      1.02e-02      7.66e-02    6.6e-04
 401000      1.24e+00      6.06e-03      4.81e-02    6.6e-04
 402000      3.29e-01      6.52e-02      1.13e-02    6.6e-04
 403000      6.07e-01      1.13e-01      1.84e-02    6.6e-04
 404000      1.42e+00      2.25e-02      5.51e-02    6.6e-04
 405000      2.35e+00      5.82e-02      9.08e-02    6.6e-04
 406000      5.07e-01      5.05e-03      1.97e-02    6.6e-04
 407000      1.43e+00      1.14e-01      5.36e-02    6.6e-04
 408000      9.76e-01      2.38e-02      3.78e-02    6.6e-04
 409000      1.29e+00      1.04e-02      4.99e-02    6.6e-04
 410000      8.67e-01      3.46e-04      3.36e-02    6.6e-04
 411000      1.86e+00      1.82e-02      7.22e-02    6.6e-04
 412000      1.76e+00      2.51e-02      6.81e-02    6.6e-04
 413000      1.00e+00      1.05e-03      3.89e-02    6.6e-04
 414000      2.55e+00      1.16e-02      9.88e-02    6.6e-04
 415000      9.43e-02      6.96e-03      3.55e-03    6.6e-04
 416000      3.43e-01      5.84e-02      1.22e-02    6.6e-04
 417000      1.77e-01      9.66e-03      6.75e-03    6.6e-04
 418000      6.89e-01      1.96e-02      2.66e-02    6.6e-04
 419000      4.40e-01      2.92e-02      1.69e-02    6.6e-04
 420000      3.16e-01      5.68e-02      9.80e-03    6.6e-04
 421000      1.49e+00      7.24e-03      5.79e-02    6.6e-04
 422000      2.77e+00      5.16e-02      1.07e-01    6.6e-04
 423000      1.58e+00      7.94e-02      6.10e-02    6.6e-04
 424000      9.95e-01      1.35e-02      3.86e-02    6.6e-04
 425000      8.77e-01      5.34e-02      3.33e-02    6.6e-04
 426000      9.80e-01      4.05e-02      3.77e-02    6.6e-04
 427000      1.50e-01      1.26e-02      5.58e-03    6.6e-04
 428000      2.95e-01      4.02e-02      1.08e-02    6.6e-04
 429000      9.46e-01      2.72e-02      3.66e-02    6.6e-04
 430000      4.15e-01      1.82e-02      1.59e-02    6.6e-04
 431000      1.29e+00      4.67e-02      4.96e-02    6.6e-04
 432000      1.29e+00      9.32e-03      5.01e-02    6.6e-04
